signalname,pub_year,n_j,mean_m,sd_m,sharpe_m,sharpe_ann,frontier_at_nj,margin,censored
MRreversal,1985,468,0.314672136842371,3.611437138172206,0.0871321096846311,0.3018344818888906,0.9145036484765509,-0.6126691665876602,False
MS,2005,228,0.5487053426323113,3.090390569482355,0.1775521023299719,0.6150585244523596,1.337489633604687,-0.7224311091523274,False
MaxRet,2011,156,0.1994445798719232,6.5747873004214625,0.0303347577280771,0.1050826832406444,1.672121849626994,-1.5670391663863497,False
MeanRankRevGrowth,1994,360,0.0249204208271506,1.922086072928242,0.0129652990977584,0.0449131135452891,1.042694586156464,-0.9977814726111749,False
Mom12m,1993,372,0.8531742264188287,8.883239417647129,0.0960431421812118,0.3327032039528409,1.025739072650199,-0.693035868697358,False
Mom12mOffSeason,2008,192,0.8800918325834889,8.68382660280681,0.1013483885432515,0.3510811164442864,1.5048057416158407,-1.1537246251715543,False
Mom6m,1993,372,1.039263360052881,8.451385396727908,0.1229695856084434,0.4259791401190292,1.025739072650199,-0.5997599325311698,False
Mom6mJunk,2007,204,0.4533777237509893,7.393003327642904,0.0613252427542919,0.2124368724738576,1.4490337056121227,-1.236596833138265,False
MomOffSeason,2008,192,0.4156152022253145,5.77176534699772,0.072008333194194,0.249444183321385,1.5048057416158407,-1.2553615582944557,False
MomOffSeason06YrPlus,2008,192,0.5309497336969622,3.5426422558531967,0.149873934580812,0.519178538848441,1.5048057416158407,-0.9856272027673997,False
MomOffSeason11YrPlus,2008,192,0.0432244152010397,2.8609115930917666,0.0151086161856289,0.0523377817311336,1.5048057416158407,-1.452467959884707,False
MomOffSeason16YrPlus,2008,192,0.2208280318581511,2.9691505523219552,0.0743741443779123,0.2576395936640145,1.5048057416158407,-1.2471661479518261,False
MomRev,2006,216,0.0733639722556662,6.453528342828375,0.0113680406063752,0.0393800478254959,1.3932616696084048,-1.3538816217829088,False
MomSeason,2008,192,-0.0635768026361959,4.414359103806035,-0.0144022724796857,-0.0498909353585334,1.5048057416158407,-1.5546966769743742,False
MomSeason06YrPlus,2008,192,0.079715769569641,3.634520221458177,0.0219329553042516,0.0759779858942023,1.5048057416158407,-1.4288277557216384,False
MomSeason11YrPlus,2008,192,0.1611407314089829,2.751830869241767,0.0585576436437691,0.2028496279250418,1.5048057416158407,-1.3019561136907989,False
MomSeason16YrPlus,2008,192,0.4572042224360733,2.7081247169717813,0.1688268710708855,0.5848334367553081,1.5048057416158407,-0.9199723048605326,False
MomSeasonShort,2008,192,0.1200406194100074,4.250532289773281,0.0282413145522558,0.0978307833540827,1.5048057416158407,-1.406974958261758,False
