signalname,n_std,sr_std_ann,sharpe_ann,n_j,diff
Size,516,-0.07457347490795513,0.0509822904144505,516,-0.12555576532240564
SmileSlope,133,1.882433908219599,1.5504624951516504,133,0.33197141306794875
Spinoff,372,0.08952727258780216,-0.0290236923022257,372,0.11855096489002787
SurpriseRD,240,0.051330475309217784,-0.0590025648747227,240,0.11033304018394048
Tax,240,0.7606031244395661,0.7136425894890752,240,0.046960534950490906
TotalAccruals,228,-0.06726638971176488,0.0233797967211132,228,-0.09064618643287808
TrendFactor,96,0.0932297024192495,0.1682602495986964,96,-0.0750305471794469
UpRecomm,276,0.5569592730343944,0.5412374443529956,276,0.01572182868139882
VarCF,336,0.10329674706417138,-0.0329030369118872,336,0.13619978397605859
VolMkt,336,0.2781304650568241,0.2554250387907921,336,0.022705426266032003
VolSD,276,0.1624214883661335,0.0074094861566772,276,0.1550120022094563
VolumeTrend,336,0.9725965863929055,0.9605801649170876,336,0.012016421475817829
XFIN,216,0.8563841631575742,0.840163103568926,216,0.016221059588648168
betaVIX,216,0.23038012924891763,0.2084371392934059,216,0.02194298995551172
cfp,240,0.6938834996395004,0.6729162202450663,240,0.020967279394434102
dCPVolSpread,97,1.360623596814174,1.2003227098778082,97,0.1603008869363658
dNoa,240,0.35236693137792774,0.3733135397410342,240,-0.020946608363106467
dVolCall,97,1.1078738297785584,0.847289624250253,97,0.2605842055283054
dVolPut,97,0.325539446659036,0.3406292656462816,97,-0.015089818987245596
fgr5yrLag,336,0.001612946491459424,-0.00032066345778,336,0.001933609949239424
grcapx,216,0.24036687377617996,0.3485229422887435,216,-0.10815606851256351
grcapx3y,216,-0.030755652698225906,0.0907357115750247,216,-0.12149136427325061
hire,120,0.19474052007557355,0.2586716821264976,120,-0.06393116205092406
iomom_cust,168,0.10176051793709542,0.0504752868760388,168,0.051285231061056626
iomom_supp,168,0.09040547961832526,0.0567849409510342,168,0.03362053866729106
realestate,168,0.3313505563428847,0.1677492741054289,168,0.1636012822374558
retConglomerate,144,0.37204058456346584,0.3121287460576289,144,0.05991183850583692
roaq,168,0.7167283367972975,0.7818289812959662,168,-0.0651006444986687
sfe,276,0.3558039282069931,0.3915952702996058,276,-0.0357913420926127
sinAlgo,180,-0.0811213676841885,-0.0829011554898258,180,0.0017797878056372979
skew1,145,0.43453641130288584,0.3441820844544688,145,0.09035432684841704
std_turn,276,0.14308274587323874,-0.0152143626566707,276,0.15829710852990944
tang,180,-0.04139015485444954,-0.0816822131817409,180,0.040292058327291366
zerotrade12M,216,0.2874235860551724,0.1018918806205416,216,0.18553170543463077
zerotrade1M,216,0.36248779901581424,0.152405817285729,216,0.21008198173008524
zerotrade6M,216,0.3195031857159532,0.1446017388422185,216,0.1749014468737347
