signalname,n_pre,n_Y,v_min,meanY2
dNoa,510,486,1.410661314674611,1.473604632902613
dVolCall,226,202,1.6114362466560817,1.2825044374707297
dVolPut,226,202,1.5314516116807597,1.5768708601105246
fgr5yrLag,174,150,3.162950555149287,1.1526581309274082
grcapx,642,618,1.0014874488928176,1.2669641790943278
grcapx3y,630,606,1.1374903486538774,1.2550817727628183
hire,594,570,1.2592705667006598,1.2513858009626615
iomom_cust,299,275,1.7867017148683253,1.327591503856715
iomom_supp,299,275,1.6328853594145347,1.3932867773580235
realestate,486,462,1.7386834544489786,1.2211469161571353
retConglomerate,443,419,2.3173759947209702,1.3724758417228167
roaq,534,510,2.6302106759555257,1.3858268685663335
sfe,297,273,2.8331316119584176,1.439788042509525
sinAlgo,1008,984,1.6153043194776602,1.2345513053174566
skew1,179,155,1.3015955824145016,1.6011309038342398
std_turn,888,864,2.514019470103756,1.1470197376909266
tang,708,684,1.2649091088314435,1.3886160139610335
zerotrade12M,959,935,2.5823650491805155,1.0944476299219896
zerotrade1M,960,936,2.3645650908980578,1.114379138787736
zerotrade6M,965,941,2.4884397091574932,1.1034589206090788
